177500,154000,1729900,11400,5700,
176900,152900,74700,1400,1700,
226000,150600,61100,1300,1600,
238900,150500,207900,1500,1700,
239400,150800,1086800,3300,2600,
220300,196900,98300,1900,2400,
235500,194400,116200,1800,2000,
81700,188300,61100,1600,1800,
44800,150100,28200,1200,1600,
38800,150700,27000,1200,2500,
57300,188000,35600,1800,2100,
52700,196100,32500,1900,2100,
56400,212600,37800,1700,2200,
56800,181900,35000,2000,2300,
56000,44100,33200,1800,2200,
54800,41500,30800,1800,2200,
55000,35300,31900,2000,2400,
56700,44100,31300,1700,2200,
55500,38200,32300,1800,13300,
55400,40900,31900,1800,2800,
55300,45600,33900,1900,2600,
56300,36400,33100,1700,25100,
56600,42600,33300,1900,700,
56800,39200,32000,1800,800,
55800,80500,31200,2100,900,
102400,25300,27700,1300,600,
38900,24000,23200,1100,400,
38300,24600,23500,1000,500,
38200,24600,23000,1000,400,
38300,24000,22800,1100,400,
38300,24600,22700,1200,400,
38700,23900,22900,1000,400,
38300,24700,22800,1100,400,
38100,24600,22500,1100,300,
38300,24000,23800,1300,400,
38700,24700,22900,1100,400,
38300,24600,22700,1100,400,
38300,24000,22600,1000,300,
38200,24600,22600,1000,400,
52600,40000,31900,1700,700,
54500,40200,35400,1400,700,
48200,26100,25000,1100,500,
38400,24000,22900,1200,400,
38300,24600,22800,1100,400,
38600,24000,22800,1200,400,
38300,24700,22700,1200,400,
38300,24600,22600,1100,300,
38300,24000,24000,1100,400,
38400,24600,23200,1100,400,
38800,23900,22700,1000,400,
38400,24600,23400,1200,400,
106800,24900,26500,1200,400,
73700,24000,24400,1100,500,
69600,24800,24400,1200,400,
69500,24800,25200,1200,500,
70100,23900,24300,1100,500,
68200,24700,23900,1100,500,
69600,24000,24400,1100,400,
68600,24700,23900,1100,400,
71800,88300,38000,3100,700,
125200,40500,48900,3700,1200,
93400,25000,29000,1400,400,
67900,24000,24400,1200,400,
69800,24700,23900,1100,400,
68600,24700,24100,1100,500,
86100,24000,24200,1300,500,
69100,24800,24600,1100,400,
69400,24000,24400,1100,400,
69200,24700,24100,1100,400,
70000,24600,23900,1100,400,
68300,24100,24100,1100,400,
69500,94000,24800,1400,500,
68700,24100,24200,1200,400,
67200,60600,24600,1300,400,
70700,24100,24400,1200,500,
69000,59700,25200,1200,500,
65400,24000,24600,1200,400,
66200,61700,24700,1100,500,
65800,24000,25100,2900,700,
66200,69300,24600,1200,500,
68500,24000,26300,1100,500,
68000,62500,25500,1200,400,
67900,23900,24200,1200,400,
67700,59700,24300,1200,400,
67700,24000,24100,1100,400,
67600,60700,24500,1300,400,
66900,24000,24100,1100,400,
66500,59600,24300,1200,400,
66700,23900,23800,1100,400,
79600,61000,24400,1200,400,
66300,23900,24100,1100,500,
67700,62500,24300,1100,500,
70000,24000,25000,1200,1400,
68700,61500,24600,1300,400,
66600,24000,24200,1200,400,
68100,62300,24100,1100,400,
65800,24000,24100,1100,400,
66800,60700,24300,1200,400,
66800,23900,23800,1100,500,
68000,60700,24800,1400,400,
