24400,20600,436900,9400,6200,
24200,65000,102800,1400,2000,
31400,19000,42400,1100,1400,
25200,18600,8600,1000,1400,
27800,20800,10700,1300,1300,
26500,19400,7000,1100,1300,
36500,20400,38500,1300,1400,
23900,17800,7900,900,1300,
23900,21300,8500,1000,1200,
23400,16300,5500,900,1200,
23500,22500,7200,1100,1200,
22200,15900,6300,1000,1300,
21300,18100,6400,900,2300,
22100,16300,5400,900,1200,
23400,18000,8000,1000,2300,
28600,21300,9200,1500,1700,
22200,16800,8500,1000,1300,
19700,15600,5500,900,1200,
21700,17200,6300,900,1200,
22400,16300,5500,900,1200,
23500,27200,17600,1500,2100,
24100,19300,7700,1100,2200,
25800,26700,12800,1000,1400,
25700,19400,7500,1100,1400,
25500,19600,9800,1000,1400,
117300,18800,10100,1300,6000,
24700,21200,9000,1200,1500,
28800,18700,7300,1100,1300,
31200,19600,11200,900,1400,
28800,20100,7600,1100,1500,
30200,21200,7900,1100,2100,
27600,19400,7700,1000,1700,
28200,18900,33300,1800,2600,
32100,18300,3600,1000,1600,
28000,20700,4100,1200,1700,
26100,19000,3200,1100,14300,
25900,20900,4500,1100,600,
26400,20100,4000,1100,500,
26800,20800,3500,1200,500,
24700,31400,3500,1200,500,
30400,18600,3400,1000,500,
28300,17900,3200,900,500,
25900,19400,4300,1200,500,
29200,22100,5100,1400,1100,
26100,18500,3900,1200,600,
24200,24600,3700,1300,600,
26100,19900,3300,1200,500,
31400,20500,3200,900,500,
24400,19300,3500,1000,400,
24000,25400,3500,1000,400,
25500,17400,3300,1000,500,
27700,21000,3300,1000,400,
24700,18000,3700,1000,400,
23600,16600,2800,800,400,
22900,15300,2800,700,300,
23000,16300,2800,800,300,
22900,15500,3800,1000,500,
29300,22700,4200,1400,800,
25400,17300,3200,900,400,
20600,16000,2700,800,300,
30300,14900,2700,800,300,
25400,15700,2800,800,400,
22800,14700,2700,700,400,
23100,15700,2700,800,400,
17600,15600,2700,800,400,
19900,16200,2600,800,400,
21400,14800,2700,800,300,
21300,16000,2600,800,300,
21200,15400,2600,800,300,
21300,16500,2700,800,300,
37400,15400,2800,700,400,
9500,16300,2700,800,300,
9400,15300,2800,800,300,
10000,16300,2700,800,300,
10500,15000,2800,800,500,
11500,18000,2700,800,300,
6100,15300,2700,700,400,
3900,16400,2600,700,400,
4000,15400,2700,700,300,
3900,16300,2700,700,300,
6700,15400,2800,700,400,
4000,17200,2700,800,300,
3900,15300,2700,800,300,
4000,16300,2800,800,300,
3900,15300,2700,800,400,
4000,15300,2700,800,300,
4000,16300,2600,800,300,
4000,15400,2700,800,300,
5000,16400,2700,800,300,
4000,15400,2700,800,400,
3900,16300,2800,800,300,
4000,15300,2700,700,300,
4000,16300,2600,700,300,
3900,15300,2600,700,300,
4000,16300,2700,800,400,
4000,15400,2600,700,400,
4700,16300,2800,700,400,
4000,15300,2700,700,400,
3800,16300,2700,800,400,
4000,15400,2700,800,300,
